word,count
t91.,1
6months,2
still,6
low-cost,1
travel,2
company?,1
videosounds+2,1
...,1
dick.,1
hope,4
t.,2
89555,2
connected,1
1)mcfly-all,1
sunshine.,1
68866.,1
09065989182,1
day!2find,2
c.,1
mgs,1
randomly,2
08712300220,6
3650,2
800,13
tattoos?,1
yrs,3
3g,5
m221bp.,2
taking,1
lucy,2
yes.,2
auction,11
received,2
hurry,1
free>ringtone!reply,1
0870141701216+,1
tons,1
highest,1
otbox,1
300603t&csbcm4235wc1n3xx.callcost150ppmmobilesvary.,1
now.,22
sextextuk.com,1
txtno,2
mobilesvary.,2
today!,7
"speedchat,",1
luck!,5
charts,1
no:81151,2
1er,1
b/tooth,1
tomorrow.,1
manchester.,1
<ukp>2000,1
disaster,1
goldviking,1
ecstacy.,1
slow,1
81151,2
romantic,1
camcorder,10
violet,2
babe,6
10th,1
flowers,1
phone?,3
89105.,1
single?,1
08718726270,2
film,1
7,1
www.sms.ac/u/natalie2k9,1
news.,1
you.,8
150p/mtmsgrcvd18+,1
ts&cs,10
m39m51,1
"week,",1
�100,22
shinco,1
ready,5
leave,2
09050090044,6
txtx,1
shagged,2
fun?,1
09065989180,1
07732584351,1
169,2
won.,4
day,8
40gb,6
m.,9
wk,9
among,2
cc,1
nothing!,2
credit.,2
invaders,2
�50award.,1
used,1
140ppm,1
08701752560.,1
62220cncl,1
subject,1
weekend?,1
(20/f),1
dept.,1
pause,1
jackpot!,2
even,6
naked,1
150p/msg,7
un-redeemed,12
08452810071,1
norm150p/tone,6
login=,4
box334,1
tcr/w1,3
bbc,1
09099726395,1
free-send,2
la32wu.,1
crazy,4
slower,1
lingerie,1
henry,1
0207-083-6089,1
"�100,000",2
uk's,7
www.ldew.com1win150ppmx3age16,4
08708800282,1
okmail:,1
24/10/04,1
rental?,3
got,7
tc-llc,1
"exorcist,",2
transferred,1
space,2
(18,2
questions:,1
54,1
will!,1
chatlines,1
txting,10
winnersclub,1
us,7
extra,7
mob.,3
who.,1
local,4
optin,1
9061100010,1
again!,1
6zf,1
erotic,1
two,1
wkly,14
eg,11
g.,3
mins?,6
discount,9
08709222922.,2
live.,3
"ghost,",2
themob>yo,1
27/03,1
bout,1
88877,1
077xxx,1
hit,3
300p,1
anyone,1
ig11,1
hubby's,1
jamster!,1
26/10/04,1
08002986030,2
fancy,9
x,10
joined,2
loan,3
purpose,4
sk38xh.,1
croydon,7
www.textpod.net,2
uk!,1
09058094594,1
tones2you.co.uk,2
subscrition,1
monoc,1
4txt/120p,1
stopbcm,1
200,3
�5,1
videos,1
11,4
password,3
gbp,1
http://www.bubbletext.com,1
cr01327bt,2
rcd,1
orig,2
evening.,1
max10mins,6
draws!,1
sf,1
08709501522,1
29/10/0,1
std,2
=,5
quiz,9
now!t&cs,1
within,7
"?1,000",2
u!u,3
09050003091,2
www.phb1.com,1
free2day,2
pre-book,1
84199,2
nyt.ec2a.3lp.msg@150p,1
mad2,1
j89.,1
"promo\"\"",1
accordingly.,1
records.,1
customer,40
trying,15
account,19
tncs,6
"tones,",1
4mths,3
orange,21
toxic,1
max�7.,3
perfect,1
subpoly,3
9ae,4
dob,1
flower,2
lucozade.co.uk/wrc,2
jordan!,1
set,1
olympics.,1
buy,3
80488.,1
men,1
fantasy,5
play?,1
"mfl\"",1
sexiest,1
subsequent,1
freemsg,6
hl,6
2nd,20
09064019014,2
ibiza,4
lastest,1
hungry,2
cam,2
wet,2
office,1
bx420.,4
fastest,2
free-message:,1
50p,3
guaranteed!,2
recorder,1
australia?,1
no-762,1
pounds,17
name,12
28thfeb.t&c's,1
mobile!,10
trial,1
�800,9
m),1
"fact,",1
congratulations!,2
expiry.,1
agent,1
time.,3
incredible,2
widelive.com/index.,2
psp,1
go!,3
tenants,4
guys,3
2kbsubject:,1
36504,7
434,3
area.,1
20p,7
upload,2
del,9
starting,4
08702840625,1
(quizclub,1
3510i,5
weddingfriend,1
filth,1
"139,",1
w1j,2
f>>>,1
continued,1
donate,2
person;,1
special,7
9996.,1
em,1
"box97n7qp,",3
eire.,2
back?,1
ph:08704050406),1
3),2
per..,2
see!,1
g,2
breaker,1
calls1.50ppm,1
gsex,1
3,17
her:,5
10p.,1
�3.00,7
hello:\you,1
put,1
4info,4
row/w1jhl,4
rooms,1
stream,1
"ringtones,",1
nasdaq,2
selling,1
fast!,1
colours!,1
suite,2
fantasies.,1
5000,1
ur,144
"\"did",1
